Participant,Block,Distance,Technique,Trial,Phase,Event,Gap,Time Stamp
5,6,Far,PhoneGyro,9,Rotation,press,,09:24:15.599
5,6,Far,PhoneGyro,9,Rotation,correct,6.998716,09:24:16.822
5,6,Far,PhoneGyro,9,Rotation,Trial End,,09:24:16.822
5,6,Far,PhoneGyro,10,RoughPlacement,Trial Start,,09:24:16.823
5,6,Far,PhoneGyro,10,RoughPlacement,press,,09:24:19.837
5,6,Far,PhoneGyro,10,RoughPlacement,correct,0.08203725,09:24:20.783
5,6,Far,PhoneGyro,10,FinePlacement,press,,09:24:21.461
5,6,Far,PhoneGyro,10,FinePlacement,correct,0.05927622,09:24:22.217
5,6,Far,PhoneGyro,10,Rotation,press,,09:24:22.579
5,6,Far,PhoneGyro,10,Rotation,correct,0.6864257,09:24:23.698
5,6,Far,PhoneGyro,10,Rotation,Trial End,,09:24:23.698
5,6,Null,Null,-1,Null,Block End,,09:24:23.698
5,6,Null,Null,-1,Null,Experiment End,,09:24:23.699
